,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,project_id
1,-20.01607618,41.64520137,-8.688681677,0.998062259,-34.75351693,10.49622975,-1.339901363,17.99662623,-12.24187871,1.21697758,-8.264891997,3.757359851,TCGA-OV
2,54.84701618,32.43405091,1.673386374,-0.843791353,-21.30613152,25.88439417,-4.108292111,14.49941084,17.45833942,1.517094,3.112617522,-9.256234767,TCGA-OV
3,-101.4001403,90.38294013,24.97658755,7.052798644,18.03797428,54.70988699,-23.39254428,4.411364839,40.47713677,26.64349856,1.213887971,1.065050272,TCGA-OV
4,93.6058834,11.75079651,-10.33069806,-0.623348138,-19.26599222,2.228862661,14.64231366,-3.239471551,0.997542658,-4.617746861,2.222898046,0.533113668,TCGA-OV
5,-31.33883968,109.3820308,-1.21696104,31.05594064,6.359213537,-3.035326779,26.36246223,-16.15379027,3.132552575,4.114499552,-4.764560062,-0.080853423,TCGA-OV
6,-31.86322084,98.40223424,3.474023977,14.44085313,12.59271436,19.12533099,9.572756016,-0.86189829,8.141644204,8.030478017,6.939688237,4.317017942,TCGA-OV
7,37.15564287,63.30999386,-3.63291723,21.93374829,-14.48854383,-2.114698942,19.05995892,8.364361697,-2.678681235,4.419811611,-14.32037808,-1.319216917,TCGA-OV
8,26.54105895,49.81857489,-1.941605088,12.7608084,-31.36866562,-6.771609949,27.54003753,-14.12701817,-7.401425999,11.63860322,-7.435305869,7.131572103,TCGA-OV
9,-27.37741271,61.22722213,-4.282444501,3.799327832,-4.938205244,11.70072771,10.5530565,-7.271287539,-8.627946183,1.725694651,4.096584082,6.146008899,TCGA-OV
10,-18.6215045,65.76329779,-17.95715037,12.46206304,-23.74457263,-9.769065558,8.003351732,6.267950755,-3.999039823,5.440313458,-4.558930506,-7.584946498,TCGA-OV
11,-70.19531759,73.30876318,-24.17787328,-3.31646898,0.053880195,-2.640348296,6.016837778,-12.71958708,-10.44609219,-14.7624361,12.85834166,-3.27018708,TCGA-OV
12,-78.42954071,56.89707764,1.358459131,5.601147104,-42.95097594,16.22027848,-2.761607822,-9.491674111,-7.667233544,5.150868325,4.4721592,6.599443726,TCGA-OV
13,1.399464511,48.14211214,3.543735355,8.6405318,-39.77443872,9.981731937,6.470358626,-9.968400564,4.326864067,2.147288377,-1.91519892,-0.544270133,TCGA-OV
14,63.17363967,22.35076736,-7.776441906,-4.487392721,-20.47058643,11.58068276,0.676110252,6.753051768,0.484861412,-6.622181782,0.314376398,-2.143483152,TCGA-OV
15,52.09141002,37.94937613,-10.05829716,7.752746827,-7.745185512,-7.804542239,16.01442093,-4.892675487,-1.129537664,-6.239819623,4.218613828,2.613437724,TCGA-OV
16,65.35024094,39.17943116,-6.560380977,10.08317008,-22.04703047,-0.392043376,14.93792378,-2.775493381,4.746093019,-4.198119143,-3.143729177,2.412363187,TCGA-OV
17,0.064642489,41.31245969,7.333457448,3.426681094,-10.59130743,11.54520388,4.42446952,-16.25127888,-5.891870251,-5.880147564,-12.69833265,0.398800393,TCGA-OV
18,-40.94982981,66.43992275,-11.25218162,10.79013297,-1.890071129,1.92251042,-3.234522887,-9.636962636,-5.913708143,0.005306319,1.885860896,12.92725528,TCGA-OV
19,-12.52359836,1.787811374,-9.904138992,-34.40924068,35.10445813,-7.996663364,-3.894483256,-24.96746986,7.766529053,-12.04852119,-12.45247615,-1.82015908,TCGA-LUAD
20,71.19890486,1.833681381,-9.690082804,-5.171446943,1.845500041,-4.33254918,-2.882863839,-6.605865892,3.392410741,-12.63196119,-16.86770127,-14.38392348,TCGA-LUAD
21,-120.729989,21.58824763,-8.111150561,-59.68926081,78.62925387,15.92079712,-28.04332335,-17.00244221,-6.166040252,-27.14211852,-29.16663968,-0.969237653,TCGA-LUAD
22,-95.13620714,0.780424879,6.855794956,-33.05780738,48.885247,5.491809707,-7.329174935,-31.13492723,10.10331056,-22.30159603,-38.75647286,-17.40619661,TCGA-LUAD
23,71.74838037,-8.307022807,-3.748373027,-14.58631419,-4.680163563,10.67025369,-3.440210253,-3.166691435,4.434107907,-11.76279921,-14.49909592,-4.246426263,TCGA-LUAD
24,73.08194602,-11.60762557,-4.136447085,-17.32377511,1.991230832,7.059115598,5.828877098,-6.008443608,3.588583002,-5.069633097,-7.53700564,-11.71404979,TCGA-LUAD
25,40.58386217,-17.05225851,-7.019931031,-23.22969731,-9.085843782,-0.862007073,-6.661659978,-5.689706657,-1.847914048,-17.72853129,-9.742811467,-0.907863002,TCGA-LUAD
26,-18.67450068,4.293462538,1.673696735,-27.94694191,40.19397902,12.58124878,10.08871811,-20.6218916,15.51361789,-5.044502499,-31.79589154,-14.51479244,TCGA-LUAD
27,-100.2249606,2.009234117,-1.663254425,-64.54561725,72.93970281,21.38171945,-10.35498458,-24.82776912,-15.31837027,-2.942158715,-7.676876022,-7.06533756,TCGA-LUAD
28,85.87685479,-4.221076183,-5.226018725,-6.452865264,3.992418796,-0.613833821,-0.78265668,-9.765991828,4.77454627,-9.856735507,-12.75489701,-6.507171131,TCGA-LUAD
29,-17.36876532,54.83499036,-13.67519982,2.459218956,-46.61553392,6.03212241,-27.58393252,28.01376574,9.060280511,5.168794408,-4.364016831,-14.17311459,TCGA-OV
30,-161.7795375,110.7849412,20.11475335,-15.93729565,47.33340357,72.81274769,-14.90067119,-28.07325486,-16.20675415,-17.01452905,5.759126881,6.308221852,TCGA-OV
31,-0.635503433,82.80960316,1.41984828,24.11458322,17.59265475,-5.106296616,28.37863903,-31.92437599,8.428676897,0.588828778,0.494433398,7.191966512,TCGA-OV
32,-92.25821591,111.5940297,-3.073820021,16.61377185,7.972113721,14.867388,-8.365803057,37.61219856,31.6907984,22.16210476,-20.00118482,-30.0614688,TCGA-OV
33,-35.05270726,101.5276284,0.118597693,27.5235684,21.3452487,-5.507132739,36.11541074,-28.77176805,-9.853263484,14.21091608,-2.70149578,19.34066507,TCGA-OV
34,-90.68103733,63.26111702,-12.40823656,-16.55114571,-21.67031643,19.86976915,-11.83004463,-10.03330254,10.86544591,-3.523022911,24.84285772,8.128144604,TCGA-OV
35,-23.8180537,62.456044,-9.16538307,19.08932686,-4.971084776,-14.38928324,27.64191639,-25.87717591,-31.2647944,3.222061117,-7.021910174,15.00136163,TCGA-OV
36,-22.09553563,37.35385443,-7.757865021,-0.935196283,-19.18717557,-2.147158201,22.88815095,-24.3468766,-11.81456322,0.2723923,8.556033228,7.350378258,TCGA-OV
37,-16.87966752,30.85192212,-11.62463229,-20.56811294,-22.96438437,12.58580327,5.99287278,-11.5440159,0.174283285,-10.53780318,10.13675392,1.431573536,TCGA-OV
38,-5.383626531,47.49783008,-13.20963037,-0.341812506,-25.78062645,-2.74984541,15.73821621,-3.27393443,-7.126724997,5.608586029,4.053491996,0.207407762,TCGA-OV
39,-184.4373831,75.68178846,-35.32042945,-19.29445571,-83.17204549,-11.11663637,-16.80679965,36.25867729,10.60353923,9.245435734,-24.44238327,-31.15721953,TCGA-OV
40,-78.24182663,89.97133348,-21.85784691,4.662336821,17.82347565,-22.68609016,42.48605818,-24.036591,-4.603831673,-0.767598303,9.50728211,-7.046733494,TCGA-OV
41,-27.02605971,69.79443825,-13.0185784,23.46801093,-17.67649271,-24.24146939,45.70192663,-18.01304363,-18.38393005,17.85560462,-31.6899089,5.046427343,TCGA-OV
42,-130.072687,69.73074277,-31.77093111,-10.57257202,5.824092319,-5.882751952,1.76032327,-15.71616573,-9.954280749,-18.14848981,10.25569394,0.428763422,TCGA-OV
43,50.60406864,21.41942361,-8.945844531,-3.1240196,-39.75684593,10.56350117,1.801297515,14.59272177,0.839770413,-0.318760327,-8.114171284,-10.72717415,TCGA-OV
44,-24.3932495,71.49753006,-6.843435723,12.83098436,18.42933652,-12.47304958,32.6881694,-43.04783443,-1.008454494,-0.937633093,-2.216717292,12.78105259,TCGA-OV
45,-98.5644793,131.9557488,16.18199365,29.14322173,-1.300067894,-1.725876594,31.58239379,-8.352536933,21.00150676,23.15671721,-18.44695679,3.164231638,TCGA-OV
46,93.78732446,22.37181398,-4.115777819,8.332200788,-25.90228509,4.459253951,12.83809293,-0.295546201,1.373857947,-2.273977577,-1.95393831,-1.780454533,TCGA-OV
47,46.92789213,30.80163829,-9.103535138,1.927217321,-28.92360556,-1.98994008,7.669538299,-5.483792435,3.70094268,-3.120702771,4.901861511,-2.79027652,TCGA-OV
48,-108.9950676,156.200459,-2.412970654,53.27038616,45.14605885,-12.87388588,35.6268213,-34.98128315,-25.40407351,15.15466727,-2.026994661,23.92888836,TCGA-OV
49,20.65114029,42.41884216,-23.29229608,1.871608301,-20.74967028,-14.66821776,23.90727418,13.34096868,-7.986963834,6.86234709,-5.33103953,3.428585359,TCGA-OV
50,-102.0496947,141.1306405,-3.337977016,61.12204922,92.37078148,-45.01884758,-19.73634311,-42.45649697,27.21386118,36.67917179,-10.46675657,7.920386929,TCGA-OV
51,96.78140959,26.80105077,-9.140224334,10.8151021,-11.63431383,-3.053155274,20.16363258,-9.143683171,-2.777387116,-5.681378142,3.517853311,-0.382337896,TCGA-OV
52,60.98275734,39.20486294,-12.00970261,17.57982309,-22.47551439,-3.5190729,10.40277301,-0.63412972,-16.84834337,0.339618379,-7.356055789,2.346706115,TCGA-OV
53,56.25794222,25.19919191,-3.625269869,5.765296376,-20.67799647,7.818713013,2.260402028,-10.16013923,-10.01790533,-6.199269211,-1.99775163,7.02954804,TCGA-OV
54,48.15445275,47.85580347,-8.85921761,10.49686543,0.735091105,-1.912717627,20.69267816,-7.944534141,-1.887524042,0.064343575,4.309642887,-1.81550968,TCGA-OV
55,33.4092664,62.62914635,0.63070511,14.79233487,-12.01861018,16.43965351,-4.030977042,7.605572835,1.808325902,2.773297462,4.643584206,3.14226294,TCGA-OV
56,65.17928431,26.71876387,-9.523447833,-1.224492827,-20.71819742,5.765320477,4.675796819,18.27502228,8.781618569,2.548811337,-6.179382726,-12.73672019,TCGA-OV
57,-105.235645,113.9077753,-9.553769151,9.888219595,45.91618123,-5.333559776,22.52994689,-26.5218548,-5.779303944,-5.508999579,4.308799711,14.1706473,TCGA-OV
58,-26.14045564,87.33273019,4.496732335,19.66453954,-23.01264858,24.65148677,0.847439613,3.083735488,-17.54644199,9.792254821,-22.37952194,17.3044413,TCGA-OV
59,105.5016117,20.97364978,-11.1300511,6.566535074,-13.80163725,-7.202953991,17.8687843,-3.730632739,-1.586336483,-5.310629941,0.653679268,-3.351534747,TCGA-OV
60,-3.367613248,63.83576533,-8.53207567,6.914108233,-2.838910074,9.520784506,-4.470300108,-9.529724213,-13.51154927,-11.71549794,8.096935683,10.70030101,TCGA-OV
61,1.802349918,50.50701673,-7.633407985,12.1740759,-37.12730105,2.15739982,7.310248914,9.678671288,-4.021146162,-0.457086245,-16.41630578,-9.340644558,TCGA-OV
62,77.29965718,35.00184917,-4.069588652,7.514736016,-9.547574121,6.68520032,12.23623754,-6.086153995,-8.959597849,-5.025121042,2.757157612,4.109006662,TCGA-OV
63,15.92573214,18.76483176,-3.111077222,-5.039030288,-22.74043516,17.02117304,2.801369322,-7.494326182,7.68673147,6.716613181,-2.214746016,1.138140681,TCGA-OV
64,63.20615195,31.30186042,-10.24782667,2.615825381,-15.66428287,3.781702501,17.08988632,-4.515516777,-1.968567378,-1.666679629,8.220292725,6.944222532,TCGA-OV
65,63.71903963,27.53124191,-12.68705466,-3.251874122,-11.26595924,2.55229387,16.57699394,-8.405636685,-7.625317606,-5.385739924,13.59791843,2.917652938,TCGA-OV
66,0.930595556,75.75994552,-6.777068934,16.14662785,8.284507917,-9.431289231,24.3709473,-22.34111151,-2.348978034,5.850825883,-1.232562891,4.580921433,TCGA-OV
67,87.07070351,19.94302434,-5.425631963,5.164964829,-31.28158152,4.716407967,7.766539975,8.04934318,0.08698386,-4.501888086,-7.190888263,-2.758850822,TCGA-OV
68,70.05454937,39.81204673,-4.181081209,13.00987514,-10.66077047,0.633892788,16.96880292,-5.13922572,0.21076509,-4.117284067,3.307590446,0.341023605,TCGA-OV
69,-11.25319561,48.15276857,-18.37694656,-4.754727649,-13.54143652,-2.177229039,13.09278314,-10.64322418,3.319309811,-11.9337991,14.67740722,1.608414869,TCGA-OV
70,-35.71519688,50.42866509,-18.83080543,3.647025549,-3.404680237,-6.769609364,27.97983727,-21.4947846,4.823324074,5.858608576,7.234936027,3.606031921,TCGA-OV
71,31.96834024,42.50232242,-9.567715896,10.16629376,-14.83990076,-14.61955548,39.37278028,-23.91215154,-15.50703521,11.21010815,-8.444048111,12.20457014,TCGA-OV
72,-79.69913465,77.96394773,-1.581078622,4.599648626,-3.23474398,-7.096948696,38.2358684,-30.67778567,-7.98174314,7.799163884,-3.001470931,12.68109027,TCGA-OV
73,36.24880194,30.40100785,-17.47456354,-1.420087972,-24.95401202,-12.49677812,14.86635477,-4.149473346,-0.091604871,-3.397811045,0.071272282,-2.29696447,TCGA-OV
74,-35.1407994,34.89844018,-6.107800762,-16.9828019,-11.59562765,28.4270372,-3.317845242,-8.719864091,21.81376449,-8.670353564,9.826983593,-4.372936011,TCGA-OV
75,50.18859686,57.35259947,-2.805000108,7.107434937,15.5245033,10.08205177,18.99097822,-8.147621933,8.327996428,-5.660919672,4.368186718,-1.240100612,TCGA-OV
76,-152.2298198,148.2681329,18.52047749,52.62973098,5.724365524,-2.641170224,17.93404323,-22.5946188,-7.84160054,22.15274385,-15.25450209,-20.57203644,TCGA-OV
77,-252.7570395,169.5195503,-7.344618255,23.4933787,5.662347075,34.70997317,-22.69485137,17.51115056,-7.289927302,-7.112745538,24.37338995,-25.17709579,TCGA-OV
78,-172.9714264,161.3545982,8.357956434,24.75841173,77.5551613,35.48953757,11.9096648,-32.82815249,48.81090957,4.046727843,4.671186583,8.854088391,TCGA-OV
