"project_id","ENSG00000107625","ENSG00000141644","ENSG00000160058","ENSG00000111361","ENSG00000136682","ENSG00000110696","ENSG00000198060","ENSG00000160785","ENSG00000186001","ENSG00000125779","ENSG00000166170","ENSG00000163374","ENSG00000169180","ENSG00000035928","ENSG00000143971","ENSG00000120709","ENSG00000101654","ENSG00000100461","ENSG00000187866","ENSG00000137764","ENSG00000166716","ENSG00000105879","ENSG00000144848","ENSG00000114416","ENSG00000091542"
"TCGA-BRCA",836,1042,1909,2765,316,3982,1212,2143,1202,575,1503,1300,5323,1005,599,312,265,1817,565,441,984,698,930,4459,1605
"TCGA-BRCA",1722,3871,6258,2599,491,5829,3566,4339,1763,1671,3294,3730,10338,3775,1547,2444,2704,5260,1380,834,2966,1132,1546,5420,2995
"TCGA-BRCA",2942,3257,7108,3784,895,7359,3286,3448,1123,1407,2519,2650,8529,3190,761,1451,1835,4327,728,1424,2968,962,2908,6952,3588
"TCGA-THCA",3037,3450,7469,2106,998,11344,3139,2836,1365,1973,5109,1864,4244,3542,933,1705,4559,5808,1325,921,4147,1238,2469,6499,6087
"TCGA-THCA",2507,2940,6058,2326,579,11189,3774,1944,1489,1797,5442,1473,4492,4067,833,1437,3850,4139,1683,797,4214,1836,3227,7759,5754
"TCGA-THCA",3538,3654,6259,2407,1005,13299,3948,2160,1936,1973,5715,2230,4544,5255,1202,1714,5315,5227,1712,1311,4078,1667,3107,8697,6090
"TCGA-THCA",2520,3350,5430,2638,827,9428,2625,1794,1556,1611,4159,1395,4087,2433,943,980,3015,4139,1438,923,2847,1398,3394,7011,6359
"TCGA-THCA",2987,2574,7146,1834,871,11939,2972,1496,1021,1908,6611,1813,3625,4494,697,1140,3368,3352,1660,1215,3782,1214,4204,9903,5422
"TCGA-THCA",2564,2949,5304,1972,665,9073,2632,1858,1377,1203,4034,1520,4629,3657,922,1652,2865,4344,1725,950,2834,1575,2360,5774,5933
"TCGA-THCA",2973,3770,6208,2144,656,9123,2760,1638,1203,1321,3102,1669,4087,4201,1004,1913,2985,4696,1786,1299,2241,1301,2651,9489,6159
"TCGA-THCA",3201,3323,6542,1784,814,11775,3323,1947,1720,2078,4498,2153,4716,5216,877,1678,4609,4866,1754,1180,3727,2105,2962,6923,6671
"TCGA-THCA",2689,2612,6321,2476,716,13058,3702,1324,1308,1668,5763,1516,3393,3268,866,1181,2950,3710,1303,829,2721,1165,3705,9782,4874
"TCGA-THCA",2615,3535,5770,2793,1059,10259,2510,1935,2047,1782,4129,2279,4473,3400,1351,1760,3526,5061,2876,585,1810,2133,3337,7993,6596
"TCGA-THCA",3636,4255,7140,2343,1299,12795,3297,2510,2329,2355,6368,2542,3999,5706,1927,2106,5597,5199,2484,1680,4521,2470,3193,9547,5025
"TCGA-THCA",2508,3233,5990,1862,783,9828,3053,2053,1809,1650,4667,1737,3822,3769,987,1865,4835,4956,1517,914,3818,1037,2811,7530,4419
"TCGA-THCA",2461,3034,5318,2377,730,10041,3027,2164,1585,1435,4416,2259,3740,3435,958,1449,3264,3738,1542,954,3793,1470,2964,7768,5028
"TCGA-THCA",4837,4017,8763,2458,1234,17541,4526,3409,1893,2502,5811,2190,7708,5128,1269,1576,4838,6655,2408,1532,4495,1788,4969,10391,9122
"TCGA-THCA",3439,4029,7513,2493,918,12958,4159,2195,1578,2510,6462,2067,5564,4646,1134,1674,4999,5217,1541,1244,4693,1668,3711,9000,6034
"TCGA-THCA",3277,3621,7158,2533,1010,12901,3794,2027,1939,2033,4958,1857,3717,3530,1014,1790,3782,5018,1597,1051,3880,1381,3455,8360,5909
