"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","project_id"
"1",-20.0160761790632,41.6452013665767,-8.68868167683495,0.998062258690132,-34.7535169274402,10.4962297545114,-1.33990136344264,17.9966262280846,-12.2418787142357,1.21697758043487,-8.26489199692987,3.75735985132513,-7.56177259129955,5.76603640886501,-13.9565632953143,13.4089358319882,-15.3981572543298,6.56735524538502,-0.478791141306703,4.02832927746976,-6.63465564615946,4.9848181663651,-3.83477141183165,18.5122985126117,-9.39091014523525,"TCGA-OV"
"2",54.8470161785949,32.4340509145544,1.67338637397629,-0.843791353162449,-21.3061315246541,25.8843941741336,-4.10829211122028,14.4994108424184,17.4583394237815,1.51709400008951,3.1126175221015,-9.25623476745858,-0.569214683470799,0.407214284073682,2.61441224102103,9.3377828901747,2.04137991569108,-0.842669706846038,-2.29730084111772,6.91465857794439,3.50678584017264,3.90399578848744,2.74193917348491,-1.57644216816166,1.76075265688553,"TCGA-OV"
"3",-101.400140316448,90.3829401259647,24.976587550759,7.05279864364011,18.0379742800681,54.7098869932394,-23.3925442790977,4.41136483892812,40.4771367730983,26.6434985632758,1.21388797135723,1.06505027179964,-5.42059066341839,37.4838064501833,-2.56775705186464,10.4389712193204,0.192427071186156,8.81823296840182,28.1644609065929,-16.6249175878164,-11.8200508978595,-12.6882061826798,-0.864218374980081,23.8987444565104,-14.2701517507205,"TCGA-OV"
"4",93.6058833972238,11.7507965066974,-10.3306980599444,-0.623348137814319,-19.2659922174611,2.22886266112563,14.6423136644532,-3.2394715512273,0.997542657761644,-4.61774686149581,2.22289804586486,0.533113668471066,-1.29744442608057,6.1395796896169,-4.36189340673275,-2.26422656490395,-1.51378691583089,-3.06181334816395,-2.81562803662068,-2.02507371113211,-3.64209082675617,2.66464305724024,2.9518520311268,-1.90634600887337,-3.06224055755085,"TCGA-OV"
"5",-31.3388396782272,109.38203081696,-1.21696104012289,31.055940642792,6.35921353704628,-3.03532677858413,26.3624622264311,-16.1537902716759,3.13255257490866,4.11449955161066,-4.76456006168658,-0.0808534226280423,-14.4551055503749,-2.99458620892531,3.65518057869936,9.41270585119148,24.2244408988704,-6.88074810545321,4.0047240794563,-7.83614604613148,9.87677217967312,8.33800846237647,17.688185359559,1.55133350494036,-11.0825863390404,"TCGA-OV"
"6",-31.863220843107,98.4022342367769,3.47402397719013,14.4408531325703,12.5927143568382,19.1253309877513,9.57275601571522,-0.861898290145433,8.14164420434391,8.03047801689358,6.93968823711721,4.31701794232224,7.7713672292639,13.3590375570163,8.42288471076396,20.8440959367925,22.0254883194707,4.87986500640219,-13.2379254147693,-2.35983742595606,7.08036991324575,4.01047920180791,5.47771502237739,7.19400000988207,-5.18185257101337,"TCGA-OV"
"7",37.155642869878,63.3099938569907,-3.63291723023068,21.933748289845,-14.4885438308618,-2.11469894227532,19.0599589197731,8.36436169669911,-2.67868123490408,4.41981161051886,-14.3203780768178,-1.31921691706453,-19.0167835665206,-10.2703602109952,2.76684714408663,-0.590660307040731,19.4586078690472,-3.98016565180439,-5.03201810831895,-7.88802065453254,7.59545045225388,10.3389750844461,3.86420759586772,8.18360165972978,-2.00303988429637,"TCGA-OV"
"8",26.5410589493191,49.8185748905442,-1.94160508806735,12.7608083979416,-31.3686656214008,-6.77160994866754,27.5400375327282,-14.1270181735606,-7.40142599903861,11.6386032184539,-7.43530586890826,7.13157210306664,-10.6521252557101,-3.86211881803086,3.01035060180556,-1.03874451098924,12.5312941808498,-13.1751403685101,-7.97011511659166,0.298350746533834,-8.46960666793401,-9.99513491283182,-7.39345271469218,-0.957219239957859,-6.23437199522194,"TCGA-OV"
"9",-27.3774127101206,61.2272221331095,-4.28244450057825,3.79932783196641,-4.93820524366611,11.700727705263,10.553056502293,-7.27128753944991,-8.62794618283102,1.72569465121738,4.09658408221734,6.1460088989463,16.7872527400551,18.1534920781617,-0.775365791726247,6.33387260208032,-11.8295254993923,-4.76191016856925,-4.64588580111169,11.0933136645772,2.83888512307958,-2.10983197740022,-5.00645947512541,-12.0329529569358,9.26833918781466,"TCGA-OV"
"10",-18.6215045047228,65.7632977902215,-17.957150371648,12.4620630409042,-23.7445726256847,-9.76906555764276,8.00335173152031,6.26795075461932,-3.99903982268179,5.44031345777353,-4.55893050584312,-7.58494649768852,-22.5343318919503,0.770801483627522,0.366881596814045,-5.22003551940604,-1.25714905790307,-9.95669696596062,5.37013522670665,1.80564286078648,4.42099419970808,0.447565137567021,1.50592332820821,5.33318088261368,-2.71138029943072,"TCGA-OV"
"11",-70.1953175890022,73.3087631826719,-24.177873275377,-3.31646898000198,0.0538801945204157,-2.64034829560103,6.01683777767571,-12.7195870794285,-10.4460921913202,-14.7624360975683,12.8583416588686,-3.27018708006951,-4.28926808278912,-1.32711623718837,-19.073494513125,0.347297419282198,-18.9003337712075,9.08630063015084,11.3267796880583,0.31761127112674,-2.96429471858646,0.948249963200227,17.0846840640663,-5.97111843521551,-3.39463356668159,"TCGA-OV"
"12",-78.4295407080759,56.8970776408418,1.3584591305503,5.60114710358081,-42.9509759392443,16.22027848437,-2.76160782186677,-9.4916741107447,-7.66723354402143,5.15086832544681,4.47215919981106,6.59944372573725,13.4191044765447,5.42778605187036,-15.0831186971495,12.1956881294494,2.15564207261973,-2.51777170372802,-29.5129930417862,7.95910834154536,-6.34852260295111,0.322134254250702,-21.0165360209641,21.3340244479863,-13.8211659222785,"TCGA-OV"
