"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","Y"
"1",-20.0160761790632,41.6452013665767,-8.68868167683495,0.998062258690132,-34.7535169274402,10.4962297545114,-1.33990136344264,17.9966262280846,-12.2418787142357,1.21697758043487,-8.26489199692987,3.75735985132513,"TCGA-OV"
"2",54.8470161785949,32.4340509145544,1.67338637397629,-0.843791353162449,-21.3061315246541,25.8843941741336,-4.10829211122028,14.4994108424184,17.4583394237815,1.51709400008951,3.1126175221015,-9.25623476745858,"TCGA-OV"
"3",-101.400140316448,90.3829401259647,24.976587550759,7.05279864364011,18.0379742800681,54.7098869932394,-23.3925442790977,4.41136483892812,40.4771367730983,26.6434985632758,1.21388797135723,1.06505027179964,"TCGA-OV"
"4",93.6058833972238,11.7507965066974,-10.3306980599444,-0.623348137814319,-19.2659922174611,2.22886266112563,14.6423136644532,-3.2394715512273,0.997542657761644,-4.61774686149581,2.22289804586486,0.533113668471066,"TCGA-OV"
"5",-31.3388396782272,109.38203081696,-1.21696104012289,31.055940642792,6.35921353704628,-3.03532677858413,26.3624622264311,-16.1537902716759,3.13255257490866,4.11449955161066,-4.76456006168658,-0.0808534226280423,"TCGA-OV"
"6",-31.863220843107,98.4022342367769,3.47402397719013,14.4408531325703,12.5927143568382,19.1253309877513,9.57275601571522,-0.861898290145433,8.14164420434391,8.03047801689358,6.93968823711721,4.31701794232224,"TCGA-OV"
"7",37.155642869878,63.3099938569907,-3.63291723023068,21.933748289845,-14.4885438308618,-2.11469894227532,19.0599589197731,8.36436169669911,-2.67868123490408,4.41981161051886,-14.3203780768178,-1.31921691706453,"TCGA-OV"
"8",26.5410589493191,49.8185748905442,-1.94160508806735,12.7608083979416,-31.3686656214008,-6.77160994866754,27.5400375327282,-14.1270181735606,-7.40142599903861,11.6386032184539,-7.43530586890826,7.13157210306664,"TCGA-OV"
"9",-27.3774127101206,61.2272221331095,-4.28244450057825,3.79932783196641,-4.93820524366611,11.700727705263,10.553056502293,-7.27128753944991,-8.62794618283102,1.72569465121738,4.09658408221734,6.1460088989463,"TCGA-OV"
"10",-18.6215045047228,65.7632977902215,-17.957150371648,12.4620630409042,-23.7445726256847,-9.76906555764276,8.00335173152031,6.26795075461932,-3.99903982268179,5.44031345777353,-4.55893050584312,-7.58494649768852,"TCGA-OV"
"11",-70.1953175890022,73.3087631826719,-24.177873275377,-3.31646898000198,0.0538801945204157,-2.64034829560103,6.01683777767571,-12.7195870794285,-10.4460921913202,-14.7624360975683,12.8583416588686,-3.27018708006951,"TCGA-OV"
"12",-78.4295407080759,56.8970776408418,1.3584591305503,5.60114710358081,-42.9509759392443,16.22027848437,-2.76160782186677,-9.4916741107447,-7.66723354402143,5.15086832544681,4.47215919981106,6.59944372573725,"TCGA-OV"
"13",1.39946451093783,48.1421121443851,3.54373535510041,8.64053180000437,-39.7744387245118,9.98173193707913,6.47035862589873,-9.96840056411029,4.32686406687562,2.14728837712588,-1.91519892046597,-0.544270133323103,"TCGA-OV"
"14",63.1736396707848,22.3507673583859,-7.77644190555433,-4.48739272089718,-20.470586432149,11.5806827602402,0.676110251783329,6.75305176767696,0.484861412317092,-6.62218178162795,0.314376398334986,-2.14348315204934,"TCGA-OV"
"15",52.0914100154633,37.9493761299087,-10.058297164276,7.75274682666229,-7.74518551190559,-7.80454223873196,16.0144209257528,-4.89267548693348,-1.12953766369787,-6.23981962283783,4.21861382814493,2.61343772356968,"TCGA-OV"
"16",65.3502409430258,39.1794311608197,-6.56038097693404,10.0831700833655,-22.0470304738457,-0.392043376321913,14.9379237841741,-2.7754933805196,4.74609301911166,-4.19811914305547,-3.14372917670167,2.41236318704724,"TCGA-OV"
"17",0.0646424893427965,41.3124596927205,7.33345744837949,3.42668109356989,-10.5913074313747,11.5452038783426,4.42446951950752,-16.2512788769754,-5.89187025089833,-5.88014756418147,-12.6983326520712,0.398800392974994,"TCGA-OV"
"18",-40.9498298109874,66.4399227494473,-11.2521816244335,10.790132970244,-1.89007112896233,1.92251041957421,-3.23452288652141,-9.63696263649822,-5.91370814284545,0.00530631891191955,1.88586089566646,12.9272552774331,"TCGA-OV"
"19",-12.5235983603112,1.78781137382269,-9.90413899213141,-34.4092406840325,35.1044581282394,-7.99666336359668,-3.89448325643454,-24.9674698620313,7.76652905334759,-12.0485211896191,-12.4524761534946,-1.8201590797355,"TCGA-LUAD"
"20",71.1989048644683,1.83368138102718,-9.69008280439107,-5.17144694310591,1.84550004122091,-4.33254918008186,-2.88286383896057,-6.60586589164665,3.3924107407207,-12.6319611947951,-16.8677012717814,-14.3839234773148,"TCGA-LUAD"
"21",-120.729988994832,21.5882476346885,-8.11115056052153,-59.6892608132413,78.6292538707057,15.9207971209354,-28.0433233492988,-17.0024422114655,-6.1660402519995,-27.1421185235112,-29.1666396842012,-0.969237652582289,"TCGA-LUAD"
"22",-95.1362071411732,0.780424879414026,6.85579495640727,-33.0578073802,48.8852469950662,5.49180970679491,-7.32917493462552,-31.1349272287779,10.1033105617022,-22.3015960341635,-38.7564728616437,-17.4061966081623,"TCGA-LUAD"
"23",71.7483803735184,-8.30702280689598,-3.74837302722985,-14.5863141882189,-4.68016356280445,10.6702536852454,-3.44021025284795,-3.16669143493692,4.43410790685177,-11.7627992138237,-14.4990959197944,-4.24642626273078,"TCGA-LUAD"
