"project_id","ENSG00000042832","ENSG00000198804","ENSG00000115414","ENSG00000198886","ENSG00000153002","ENSG00000108821","ENSG00000198938","ENSG00000164733","ENSG00000168878","ENSG00000120885","ENSG00000164692","ENSG00000198712","ENSG00000198727","ENSG00000168542","ENSG00000198763","ENSG00000156508","ENSG00000198888","ENSG00000110484","ENSG00000198786","ENSG00000075624"
"TCGA-BRCA",66,1001250,1072515,768887,923,287202,553714,82929,3,108903,266515,379183,335136,411897,271338,319989,342734,11745,198413,449264
"TCGA-BRCA",40,468669,959735,375200,69,725907,268830,80862,4,80450,588094,113257,154527,557776,105032,355978,112862,2882,128489,339005
"TCGA-BRCA",62,951376,271118,686611,7,179999,503676,58065,4,92954,134504,311423,369626,129519,560416,226888,497431,3,248384,152813
"TCGA-BRCA",42,907993,596473,1014283,11515,585681,543033,95742,19,4464,441686,510820,512679,328158,435531,273220,375708,351,231107,610932
"TCGA-BRCA",51,456489,175673,279931,108,389907,329327,94867,78,17988,242514,223604,188263,172553,118693,98638,144559,82,90401,265542
"TCGA-BRCA",200,510695,546327,500467,10,399031,174589,52179,3,62196,407870,173282,151126,418341,193298,266011,242214,120,225207,737720
"TCGA-BRCA",47,876236,741633,320883,657,899195,214649,66659,0,33448,965485,181760,171321,854166,196993,282666,244489,783,97437,284050
"TCGA-BRCA",10,434507,1177243,408708,60,676838,231143,69270,0,7122,782205,151398,220810,584476,216970,210374,148047,38,179671,347600
"TCGA-BRCA",69,638118,104290,471208,1093358,195011,306958,123421,0,15937,151763,351557,318337,178136,336893,551238,218326,6,158371,189464
"TCGA-BRCA",81,430608,877386,243617,1702,1323321,173913,73243,1,15652,1383640,156909,134226,1443258,117338,226888,138443,1162,149897,322192
"TCGA-BRCA",48,1319598,1227321,958760,248,1736737,618379,107874,19,58731,1453259,541629,302151,1041500,565843,199234,294804,401,213999,726873
"TCGA-BRCA",27,680291,182675,599125,283888,277043,449227,85791,95,18031,209364,418422,314901,186714,271366,305452,218768,7688,106550,414584
"TCGA-BRCA",145,888848,1249916,608956,18164,2000790,521849,105805,31,23197,1984099,454711,451609,1516539,315187,276315,210978,6494,124082,486849
"TCGA-BRCA",61,426884,49580,451323,20,88389,190364,43277,5,8321,71335,283550,211613,63997,355830,406198,196448,3,60926,296710
"TCGA-BRCA",56,1416415,853079,886597,38,422067,529401,218373,22,97888,477846,630921,552945,494632,402048,549614,272964,1,478446,402744
"TCGA-BRCA",25,624366,345762,533876,56,163088,343028,55179,3,4607,143670,349240,344416,112852,224241,531729,224069,44,269383,96355
"TCGA-BRCA",66,284738,41420,162636,3116281,86236,131597,26747,18,26115,62797,109430,84511,62327,48135,191332,56649,39247,75009,66356
"TCGA-BRCA",16,805722,304489,677878,334,244548,730253,63232,4,58895,189412,646216,468790,143968,347901,272157,345595,1333,156666,228153
